Efector,Area,Tipo de Dispositivo,SO,Procesador,RAM,Disco,Conexion,V.de conexion,Rango Ip,Mac,Inventario,Fecha,Scoring Procesador,F. Cant. RAM,F. Tipo RAM
Maternidad,Facturacion,Mini Lenovo 11JKS1U800,Microsoft Windows 10 Pro,AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.47,08:3a:88:6c:9d:e9,,12 Septiembre,7270,8GB,SODI
Maternidad,Facturacion, CX Mini HSW-P1,Microsoft Windows 10 Pro,Intel(R) Core(TM) i3-4010U CPU @ 1.70GHz,SODIMM DDR3 4GB,SSD 120 GB,Cableada,,10.254.49.69,00:71:c2:4a:94:6d,,12 Septiembre,1664,4GB,SODI
Maternidad,facturacion,Mini Lenovo 11JKS1U800,Microsoft Windows 10 Pro,AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.98,08:3a:88:6c:56:8d,,12 Septiembre,7270,8GB,SODI
Maternidad,facturacion,LENOVO MiniPC 11T4S0K900,Microsoft Windows 11 Pro,12th Gen 12th Gen Intel(R) Core(TM) i5-12400T,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.254.49.16,6c:24:08:62:47:48,,12 Septiembre,15758,8GB,SODI
Maternidad,Enfermeria Jefatura,"Lenovo 90C2003YAE	",Microsoft Windows 10 Pro,Intel(R) Pentium(R) CPU J2900 @ 2.41GHz,DIMM DDR3 4GB,HDD 500 GB,Cableada,,10.254.49.76,b8:ae:ed:20:af:b6,,12 Septiembre,1247,4GB,DIMM
Maternidad,Frente TPR 1,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.245.49.58,08:bf:b8:1e:07:e0,,12 Septiembre,15982,8GB,DIMM
Maternidad,Binomio1 Enfermeria,LENOVO MiniPC 11T4S0K900,Microsoft Windows 11 Pro,12th Gen 12th Gen Intel(R) Core(TM) i5-12400T,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.254.46.24,6c:24:08:6d:fd:4e,,12 Septiembre,15758,8GB,SODI
Maternidad,Oficina Enfermeria,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.29,08:bf:b8:3e:ae:2a,,12 Septiembre,15982,8GB,DIMM
Maternidad,Recepcion RN,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 8GB,SSD 120 GB,Cableada,,10.254.49.97,54:b2:03:05:5f:a2,,12 Septiembre,1215,8GB,SODI
Maternidad,Binomio1 PA Enfermeria,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.37,08:bf:b8:1d:d8:a3,,12 Septiembre,15982,8GB,DIMM
Maternidad,Binomio1 PA Enfermeria,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.40,08:bf:b8:1d:e9:66,,12 Septiembre,15982,8GB,DIMM
Maternidad,Quirofano,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.50,08:bf:b8:1e:08:57,,12 Septiembre,15982,8GB,DIMM
Maternidad,Binomio1 S. Medicos,Mini Lenovo  11DUSGMR00,Microsoft Windows 11 Pro,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz CPU @ 2.30GHz,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.254.49.28,6c:24:08:b9:ca:42,,12 Septiembre,9195,8GB,SODI
Maternidad,Binomio1 S. Medicos,Mini Lenovo 11JKS1U800,Microsoft Windows 10 Pro,AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.25,08:3a:88:6c:8c:eb,,12 Septiembre,7270,8GB,SODI
Maternidad,Anatomia Patologica,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.107,08:bf:b8:1d:d8:a8,,12 Septiembre,15982,8GB,DIMM
Maternidad,Binomio SIP,Desktop brb,Microsoft Windows 10 Pro,Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,DIMM DDR4 4GB,HDD 500 GB,Cableada,,10.254.49.122,1c:1b:0d:c1:ce:76,,12 Septiembre,4307,4GB,DIMM
Maternidad,Anatomia Patologica Silapa,Desktop,Microsoft Windows 7 Professional,AMD Athlon(tm) II X2,DIMM DDR3 2GB,HDD 500 GB,,,10.254.49.30,00:e0:4c:36:02:c9,,12 Septiembre,1208,2GB,DIMM
Maternidad,Enfermeria PB,Desktop Sentey,Microsoft Windows 10 Pro,AMD Sempron(tm) 145 Processor,DIMM DDR3 4GB,HDD 500 GB,,,10.254.49.91,50:e5:49:da:09:95,,12 Septiembre,540,4GB,DIMM
Maternidad,Enfermeria PB,"Lenovo 90C2003YAE	",Microsoft Windows 10 Pro,Intel(R) Pentium(R) CPU J2900 @ 2.41GHz,DIMM DDR4 4GB,SSD 250 GB,Cableada,,,74:29:af:26:6b:67,,12 Septiembre,1247,4GB,DIMM
Maternidad,Guardia Obs. Pasillo,Mini Lenovo 11JKS1U800,Microsoft Windows 10 Pro,AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.26,08:3a:88:6c:73:22,,12 Septiembre,7270,8GB,SODI
Maternidad,Guardia Obs. Espera,Mini Lenovo 11JKS1U800,Microsoft Windows 10 Pro,AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.75,08:3a:88:6c:57:ad,,12 Septiembre,7270,8GB,SODI
Maternidad,Vent. Guardia,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.39,08:bf:b8:1d:d8:a6,,12 Septiembre,15982,8GB,DIMM
Maternidad,Vent. Guardia,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.31,08:bf:b8:1d:e3:0b,,12 Septiembre,15982,8GB,DIMM
Maternidad,,Mini Lenovo 11JKS1U800,Microsoft Windows 10 Pro,AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,,08:3a:88:6c:93:99,,12 Septiembre,7270,8GB,SODI
Maternidad,Archivo,Mini Lenovo  11DUSGMR00,Microsoft Windows 11 Pro,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz CPU @ 2.30GHz,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.254.49.30,6c:24:08:b9:cb:66,,12 Septiembre,9195,8GB,SODI
Maternidad,Mantenimiento, CX Mini HSW-P1,Microsoft Windows 10 Pro,Intel(R) Core(TM) i3-4010U CPU @ 1.70GHz,SODIMM DDR3 4GB,HDD 500 GB,Cableada,,,00:71:c2:4a:95:7f,,12 Septiembre,1664,4GB,SODI
Maternidad,Isla 1,Mini Lenovo  11DUSGMR00,Microsoft Windows 11 Pro,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz CPU @ 2.30GHz,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.254.49.34,6c:24:08:af:2a:42,,12 Septiembre,9195,8GB,SODI
Maternidad,Neonatologia Jefatura,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.66,08:bf:b8:3e:ae:37,,12 Septiembre,15982,8GB,DIMM
Maternidad,Isla 2,Lenovo 3484BNY,Microsoft Windows 10 Pro,Intel(R) Pentium(R) CPU G2030 @ 3.00GHz,DIMM DDR3 4GB,SSD 500 GB,Cableada,,10.254.49.62,74:27:ea:ab:dc:7e,,12 Septiembre,1765,4GB,DIMM
Maternidad,isla 3,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.89,08:bf:b8:3e:ae:2f,,12 Septiembre,15982,8GB,DIMM
Maternidad,Neo Adentro,Desktop,Microsoft Windows 7 Professional,AMD Sempron(tm) 145 Processor,DIMM DDR3 4GB,HDD 500 GB,Cableada,,10.254.49.71,50:e5:49:da:0a:53,,12 Septiembre,540,4GB,DIMM
Maternidad,Office Neo,Desktop SOYO,Microsoft Windows 10 Pro,"Intel(R) Core(TM) i3-2105 CPU @ 3.10GHz	",DIMM DDR3 4GB,HDD 500 GB,Cableada,,10.254.49.27,8c:89:a5:f2:2e:05,,12 Septiembre,1837,4GB,DIMM
Maternidad,isla 4,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,,08:bf:b8:1e:08:55,,12 Septiembre,15982,8GB,DIMM
Maternidad,Recepcion Camaras,Desktop brb,,,,,,,,1c:1b:0d:c1:ce:c2,,12 Septiembre,,,
Maternidad,Seguridad No estandarizada,Mini PC Lenovo i3,Microsoft Windows 10 Pro,,,,Sin Red,,,,,12 Septiembre,,,
Maternidad,Aislamiento Neo,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,SSD 120 GB,Cableada,,10.254.49.61,54:b2:03:05:5e:2e,,12 Septiembre,1215,4GB,SODI
Maternidad,Jefatura Consultorios,Mini Lenovo 11JKS1U800,"	Microsoft Windows 11 Pro",AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.23,08:3a:88:68:19:90,,12 Septiembre,7270,8GB,SODI
Maternidad,Recepcion Consultorios,LENOVO MiniPC 11T4S0K900,Microsoft Windows 11 Pro,12th Gen 12th Gen Intel(R) Core(TM) i5-12400T,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.254.49.13,6c:24:08:6d:fb:87,,12 Septiembre,15758,8GB,SODI
Maternidad,Cuidados Intensivos Heladera,Mini Lenovo 11JKS1U800,"	Microsoft Windows 11 Pro",AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.20,08:3a:88:6c:53:a1,,12 Septiembre,7270,8GB,SODI
Maternidad,Neo Isla derecha,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,SSD 120 GB,Cableada,,10.254.49.100,d4:5d:df:08:74:d6,,12 Septiembre,1215,4GB,SODI
Maternidad,Neo isla centro, CX Mini HSW-P1,Microsoft Windows 10 Pro,Intel(R) Core(TM) i3-4010U CPU @ 1.70GHz,SODIMM DDR3 4GB,HDD 500 GB,Cableada,,10.254.49.99,00:71:c2:49:2c:10,,12 Septiembre,1664,4GB,SODI
Maternidad,Consultorio Nutricion,Mini Lenovo 11JKS1U800,"	Microsoft Windows 11 Pro",AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.17,08:3a:88:6c:56:b1,,12 Septiembre,7270,8GB,SODI
Maternidad,Neo isla izquierda,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,SSD 120 GB,Cableada,,10.254.49.84,54:b2:03:05:5f:8b,,12 Septiembre,1215,4GB,SODI
Maternidad,Consultorio Serv. Social,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,HDD 500 GB,Cableada,,10.254.49.80,d4:5d:df:08:76:26,,12 Septiembre,1215,4GB,SODI
Maternidad,Cord. Enf. Neo ,HP Compaq 8200 Elite SFF PC,Microsoft Windows 10 Pro,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz,DIMM DDR3 16GB,HDD 500 GB,Cableada,,10.254.49.77,3c:d9:2b:74:a7:f4,,12 Septiembre,3872,6GB,DIMM
Maternidad,Consultorio 3,LENOVO MiniPC 11T4S0K900,Microsoft Windows 11 Pro,12th Gen 12th Gen Intel(R) Core(TM) i5-12400T,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.254.49.21,6c:24:08:6e:00:d9,,12 Septiembre,15758,8GB,SODI
Maternidad,Uti,Mini Lenovo 11JKS1U800,"	Microsoft Windows 11 Pro",AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.22,08:3a.88:6c:93:99,,12 Septiembre,7270,8GB,SODI
Maternidad,Consultorio 4,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.78,08:bf:b8:1e:08:20,,12 Septiembre,15982,8GB,DIMM
Maternidad,Consultorio 5,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,HDD 500 GB,Cableada,,10.254.49.83,d4:5d:df:08:75:ad,,12 Septiembre,1215,4GB,SODI
Maternidad,Consultorio 1,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 8GB,HDD 500 GB,Cableada,,10.254.49.49,d4:5d:df:08:77:71,,12 Septiembre,1215,8GB,SODI
Maternidad,Consultorio 2,LENOVO MiniPC 11T4S0K900,Microsoft Windows 11 Pro,12th Gen 12th Gen Intel(R) Core(TM) i5-12400T,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.254.49.18,6c:24:08:77:39:25,,12 Septiembre,15758,8GB,SODI
Maternidad,Equipo Seguimiento,Desktop,,,,,,,10.254.49.90,50:3a:aa:69:54:6e,,12 Septiembre,,,
Maternidad,Hemoterapia,Mini Lenovo 11JKS1U800,"	Microsoft Windows 11 Pro",AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.52,08:3a:88:6c:51:6f,,12 Septiembre,7270,8GB,SODI
Maternidad,Ecografia,Mini Lenovo  11DUSGMR00,Microsoft Windows 11 Pro,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz CPU @ 2.30GHz,SODIMM DDR4 8GB,M2 250 GB,,,10.254.49.53,6c:24:08:a8:de:7b,,12 Septiembre,9195,8GB,SODI
Maternidad,Ecografia 2,Mini Lenovo  11DUSGMR00,Microsoft Windows 11 Pro,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz CPU @ 2.30GHz,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.255.76.164,b0:3c:dc:ed:b9:a3,,12 Septiembre,9195,8GB,SODI
Maternidad,Monitoreo Fetal,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,SSD 250 GB,Cableada,,10.254.49.87,d4:5d:df:08:75:9f,,12 Septiembre,1215,4GB,SODI
Maternidad,Consultorio 6,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,HDD 500 GB,Cableada,,10.254.49.117,d4:5d:df:08:76:13,,12 Septiembre,1215,4GB,SODI
Maternidad,Consultorio 7,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,HDD 500 GB,Cableada,,10.254.49.121,54:b2:03:05:5f:a3,,12 Septiembre,1215,4GB,SODI
Maternidad,Consultorio Vacunacion,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,SSD 250 GB,Cableada,,10.254.49.118,D4:5D:DF:08:76:1E,,12 Septiembre,1215,4GB,SODI
Maternidad,Ecografia 2,Mini Lenovo  11DUSGMR00,Microsoft Windows 11 Pro,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz CPU @ 2.30GHz,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.254.49.54,6c:24:08:b9:c5:b2,,12 Septiembre,9195,8GB,SODI
Maternidad,Consultorio vacunacion 2,Mini Lenovo  11DUSGMR00,Microsoft Windows 11 Pro,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz CPU @ 2.30GHz,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.254.49.119,6c:24:08:b9:c8:ec,,12 Septiembre,9195,8GB,SODI
Maternidad,Consultorio 9 puerperio,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,HDD 500 GB,Cableada,,10.254.49.93,d4:5d:df:08:74:2e,,12 Septiembre,1215,4GB,SODI
Maternidad,Consultorio 13,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,HDD 500 GB,Cableada,,10.254.49.14,80:c5:f2:2f:65:eb,,12 Septiembre,1215,4GB,SODI
Maternidad,Consultorio 13 2,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.12,08:bf:b8:1d:d8:ac,,12 Septiembre,15982,8GB,DIMM
Maternidad,Consultorio 11,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.105,08:bf:b8:3e:ad:be,,12 Septiembre,15982,8GB,DIMM
Maternidad,Consultorio 10,Mini Lenovo 11JKS1U800,"	Microsoft Windows 11 Pro",AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.10,08:3a:88:6c:6d:92,,12 Septiembre,7270,8GB,SODI
Maternidad,Guardia Hemoterapia,"Lenovo 90C2003YAE	",Microsoft Windows 10 Pro,Intel(R) Pentium(R) CPU J2900 @ 2.41GHz,DIMM DDR3 4GB,HDD 500 GB,Cableada,,10.254.49.79,b8:ae:ed:29:b1:b5,,12 Septiembre,1247,4GB,DIMM
Maternidad,Farmacia Jefatura,Mini Lenovo 11JKS1U800,"	Microsoft Windows 11 Pro",AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.51,08:3a:88:6c:5a:f8,,12 Septiembre,7270,8GB,SODI
Maternidad,Farmacia pasillo,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.45,08:bf:b8:1d:e5:4a,,12 Septiembre,15982,8GB,DIMM
Maternidad,Farmacia pasillo 2,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,HDD 500 GB,Cableada,,10.254.49.128,d4:5d:df:08:77:4d,,12 Septiembre,1215,4GB,SODI
Maternidad,Farmacia Ventanilla,desktop,Microsoft Windows 10 Pro,Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,DIMM DDR4 4GB,HDD 1 TB,Cableada,,10.254.49.48,1c:1b:0d:c1:ce:71,,12 Septiembre,4307,4GB,DIMM
Maternidad,Rrhh 1,CX Mini PC CX9222,Microsoft Windows 10 Pro,Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,SODIMM DDR4 4GB,SSD 250 GB,Cableada,,10.254.49.123,d4:5d:df:08:76:21,,12 Septiembre,1215,4GB,SODI
Maternidad,rrhh 2,Mini Lenovo 11JKS1U800,"	Microsoft Windows 11 Pro",AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.86,08:3a:88:6c:4d:e3,,12 Septiembre,7270,8GB,SODI
Maternidad,rrhh 3,LENOVO MiniPC 11T4S0K900,Microsoft Windows 11 Pro,12th Gen 12th Gen Intel(R) Core(TM) i5-12400T,SODIMM DDR4 8GB,M2 250 GB,Cableada,,10.254.49.15,6c:24:08:6a:75:4e,,12 Septiembre,15758,8GB,SODI
Maternidad,Enfermeria Internacion,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.41,08:bf:b8:1d:e2:46,,12 Septiembre,15982,8GB,DIMM
Maternidad,Enfermeria interacin pasillo,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.11,08:bf:b8:1e:03:75,,12 Septiembre,15982,8GB,DIMM
Maternidad,Medicos pasillo internacion,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.38,08:bf:b8:1d:e3:35,,12 Septiembre,15982,8GB,DIMM
Maternidad,Medicos pasillo internacion 2,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.56,08:bf:b8:1d:e4:66,,12 Septiembre,15982,8GB,DIMM
Maternidad,Internacion Neonato,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.44,08:bf:b8:1d:de:a6,,12 Septiembre,15982,8GB,DIMM
Maternidad,Internacion Neonato 2,Desktop Coradir,Microsoft Windows 11 Pro,AMD Ryzen 5 4600G with Radeon Graphics,DIMM DDR4 8GB,M2 500 GB,Cableada,,10.254.49.32,08:bf:b8:3e:ad:3f,,12 Septiembre,15982,8GB,DIMM
Maternidad,Secretaria Rayos,desktop,Microsoft Windows 10 Pro,Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,DIMM DDR4 4GB,SSD 120 GB,Cableada,,10.254.49.68,1c:1b:0d:c1:ce:6b,,12 Septiembre,4307,4GB,DIMM
Marzano,pediatria,Mini Lenovo 11JKS1U800,Microsoft Windows 11 Pro,AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,100mb,10.254.57.162,08:3a:88:6c:61:39,,8 septiembre,7270,8GB,SODI
Marzano,odontologia,Mini Lenovo 11JKS1U800,Microsoft Windows 11 Pro,AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,100mb,10.254.57.165,08:3a:88:6c:50:02,,8 septiembre,7270,8GB,SODI
Marzano,recepcion,bangho AIO E0914,Microsoft Windows 10 Pro,Intel(R) Pentium(R) CPU G3250 @ 3.20GHz,DIMM DDR3 4GB,HDD 500 GB,Cableada,100mb,10.254.57.163,fc:aa:14:ce:37:9c,,8 septiembre,2017,4GB,DIMM
Marzano,clinica medica,Mini Lenovo 11JKS1U800,Microsoft Windows 11 Pro,AMD Ryzen 3 3200GE with Radeon Vega Graphics,SODIMM DDR4 8GB,M2 500 GB,Cableada,100mb,10.254.575.167,08:3a:88:6c:6d:b5,,8 septiembre,7270,8GB,SODI
